filename,NGP24h
aq_pos_3337,1
aq_pos_4166,1
aq_pos_4339,1
aq_pos_4546,1
aq_pos_4677,1
aq_pos_6625,1
org_pos_1097,1
org_pos_1651,1
org_pos_2564,1
org_pos_3307,1
org_pos_3617,1
aq_pos_2462,1
aq_pos_3607,1
aq_pos_4086,1
aq_pos_4136,1
aq_pos_4877,1
aq_pos_5458,1
aq_pos_6915,1
org_pos_320,1
org_pos_701,1
org_pos_1159,1
org_pos_1175,1
org_pos_1181,1
org_pos_2130,1
org_pos_2697,1
org_pos_3091,1
org_pos_3288,1
org_pos_3600,1
aq_pos_2253,1
aq_pos_2493,1
aq_pos_2697,1
aq_pos_2706,1
aq_pos_3041,1
aq_pos_3187,1
aq_pos_3697,1
aq_pos_4519,1
aq_pos_4530,1
aq_pos_4876,1
aq_pos_6648,1
org_pos_761,1
org_pos_1306,1
org_pos_1404,1
org_pos_1460,1
org_pos_1584,1
org_pos_1853,1
org_pos_2009,1
org_pos_2015,1
org_pos_2609,1
org_pos_2852,1
org_pos_2985,1
org_pos_2986,1
org_pos_3009,1
org_pos_3016,1
org_pos_3774,1
aq_pos_212,1
aq_pos_2074,1
aq_pos_2111,1
aq_pos_2357,1
aq_pos_2616,1
aq_pos_2726,1
aq_pos_3189,1
aq_pos_3358,1
aq_pos_3808,1
aq_pos_5292,1
aq_pos_5534,1
aq_pos_5624,1
aq_pos_6772,1
aq_pos_6875,1
aq_pos_7032,1
org_pos_675,1
org_pos_705,1
org_pos_908,1
org_pos_1073,1
org_pos_1171,1
org_pos_1436,1
org_pos_1518,1
org_pos_1636,1
org_pos_2032,1
org_pos_2099,1
org_pos_2171,1
org_pos_2633,1
org_pos_2971,1
org_pos_2977,1
